1000
504	79	575	719	732	523	
274	87	423	588	670	34	
442	519	519	640	441	427	
200	512	375	563	672	378	
752	740	714	696	175	329	
619	577	336	425	421	196	
352	674	104	414	192	356	
39	521	265	332	8	129	
41	379	437	19	235	115	
528	4	341	462	740	155	
75	282	278	332	81	629	
122	674	717	129	2	104	
523	356	753	373	154	734	
526	658	83	136	436	392	
442	38	710	11	30	488	
704	477	602	3	521	544	
30	198	100	28	743	796	
69	553	266	478	64	634	
337	498	222	326	476	36	
9	788	233	127	39	258	
174	743	547	114	130	118	
486	274	763	402	709	326	
19	648	20	436	484	775	
728	364	754	411	122	466	
744	68	408	42	634	82	
757	254	201	799	433	655	
710	362	275	373	494	235	
98	405	147	216	499	478	
763	755	573	736	161	429	
360	554	570	796	4	670	
146	660	566	787	661	677	
621	454	9	176	723	575	
344	743	543	667	780	320	
583	667	179	246	274	648	
2	573	652	226	566	64	
403	100	501	120	654	181	
563	682	93	493	497	318	
747	449	96	728	672	142	
322	309	467	734	753	68	
445	442	506	510	616	13	
1	163	135	16	648	179	
95	247	74	421	483	567	
225	200	541	50	71	563	
488	353	730	779	507	764	
377	625	544	393	75	293	
450	255	159	27	260	246	
45	88	47	14	571	329	
356	88	60	768	687	292	
404	653	764	424	182	565	
484	425	142	209	319	521	
314	5	541	302	403	283	
560	587	586	507	641	557	
173	138	675	292	744	381	
421	236	520	504	192	535	
188	455	336	376	788	759	
0	655	203	210	734	140	
609	694	749	130	545	49	
794	553	482	411	422	335	
456	272	513	509	74	361	
152	546	590	373	197	190	
209	601	517	13	3	353	
40	654	78	545	65	46	
727	333	700	278	382	466	
687	206	32	111	457	172	
92	435	584	701	530	148	
359	527	422	681	243	761	
196	421	799	263	798	369	
622	741	17	740	205	680	
518	449	99	692	340	654	
768	621	354	716	339	189	
106	88	696	734	537	477	
302	773	179	691	775	492	
84	184	760	731	209	489	
304	18	189	670	678	276	
488	575	235	595	417	647	
222	661	220	179	606	384	
110	519	794	455	693	766	
676	529	789	555	357	546	
61	721	266	296	328	731	
283	772	768	761	588	723	
92	311	717	153	650	284	
124	521	424	668	187	754	
268	218	187	297	68	62	
55	751	56	431	446	32	
395	749	520	24	704	77	
681	1	280	626	612	221	
506	772	183	492	428	368	
532	603	158	636	175	425	
774	165	691	791	741	87	
208	460	745	104	207	386	
556	337	326	784	761	234	
390	437	622	353	113	542	
381	55	458	404	397	87	
677	485	414	500	573	45	
554	30	4	673	326	0	
245	247	424	409	325	53	
290	116	88	245	76	423	
496	50	256	677	705	211	
671	352	351	720	177	287	
601	773	522	151	799	754	
103	521	350	204	152	408	
44	740	344	197	510	562	
55	329	280	478	473	238	
60	746	502	10	99	95	
418	473	650	659	296	534	
100	340	528	598	621	532	
736	2	318	528	478	623	
156	255	179	571	267	531	
618	389	641	655	88	681	
469	742	630	568	789	555	
650	432	247	283	132	509	
103	227	676	75	576	462	
632	135	22	367	291	657	
623	584	794	160	658	309	
488	466	119	408	561	782	
126	514	339	345	444	570	
136	49	16	429	200	169	
468	498	204	353	143	312	
397	96	583	431	267	561	
340	784	361	345	463	618	
310	401	105	618	487	707	
664	678	95	133	716	70	
112	781	224	335	347	16	
76	110	20	156	696	797	
385	302	330	597	705	80	
32	592	393	563	217	217	
105	741	270	211	46	78	
351	642	769	237	743	250	
172	490	17	99	252	600	
516	453	353	73	506	566	
19	269	111	61	271	425	
52	450	159	720	642	20	
56	97	428	310	29	476	
110	135	352	258	354	396	
777	744	433	477	175	631	
614	521	451	356	94	198	
748	231	92	409	76	730	
57	478	674	624	440	341	
489	303	568	297	318	651	
418	574	799	481	578	502	
686	621	115	608	660	552	
19	543	323	609	726	370	
308	566	150	165	655	80	
39	51	137	761	201	693	
392	507	503	588	162	790	
348	391	131	573	69	561	
396	237	17	347	793	331	
197	545	475	57	125	316	
580	693	573	260	642	207	
517	415	738	356	195	618	
406	155	98	130	721	412	
320	496	622	552	733	559	
81	761	111	251	677	182	
19	536	229	659	125	636	
598	675	465	602	49	443	
427	620	607	517	184	444	
220	29	7	367	574	108	
26	430	719	542	278	563	
470	674	154	716	277	574	
621	751	331	44	624	731	
760	692	466	230	33	391	
546	552	42	470	191	131	
384	429	588	14	121	336	
383	60	274	496	472	782	
376	681	175	690	451	667	
742	245	348	132	158	332	
64	214	133	123	
